rank|msa|WetPopulation
1|ARLINGTON,TX|1.26713E8
2|DALLAS,TX|1.07262064E8
3|FORT WORTH,TX|7.9706568E7
4|HOUSTON,TX|7.460468E7
5|CHICAGO,IL|4.0511196E7
6|AUSTIN,TX|3.0154586E7
7|NEW YORK,NY|2.6048102E7
8|ATLANTA,GA|2.5579392E7
9|OKLAHOMA CITY,OK|2.3322288E7
10|SAN ANTONIO,TX|2.1666762E7
11|NEW BRAUNFELS,TX|2.087566E7
12|TAMPA,FL|2.0115628E7
13|KANSAS CITY,MO|2.0034792E7
14|DETROIT,MI|1.4087189E7
15|TULSA,OK|1.3806423E7
16|MINNEAPOLIS,MN|1.3671332E7
17|MIAMI,FL|1.3235547E7
18|FORT LAUDERDALE,FL|1.152019E7
19|LONG BEACH,CA|1.0059512E7
20|CLEVELAND,OH|9769947.0
21|BATON ROUGE,LA|9511735.0
22|WEST PALM BEACH,FL|9122586.0
23|LOS ANGELES,CA|8883726.0
24|NEW ORLEANS,LA|8508232.0
25|SCOTTSDALE,AZ|8408221.0
26|EDINBURG,TX|8325380.5
27|MEMPHIS,TN|8316979.0
28|BALTIMORE,MD|7297282.5
29|WICHITA,KS|7104200.5
30|LITTLE ROCK,AR|7048835.0
31|FAYETTEVILLE,AR|6611698.0
32|CORPUS CHRISTI,TX|6517893.0
33|NASHVILLE,TN|6472450.0
34|COLUMBUS,OH|6062122.0
35|PROVIDENCE,RI|5940634.5
36|PHOENIX,AZ|5862398.5
37|FORT SMITH,AR|5826063.0
38|PITTSBURGH,PA|5790099.0
39|COLORADO SPRINGS,CO|5702705.0
40|BOSTON,MA|5700156.0
41|KILLEEN,TX|5455964.5
42|SAN JUAN,PR|5319203.5
43|SAN DIEGO,CA|5213821.0
44|LAFAYETTE,LA|4933296.0
45|OMAHA,NE|4878671.5
46|SALT LAKE CITY,UT|4863379.5
47|SHREVEPORT,LA|4726490.5
48|PHILADELPHIA,PA|4488468.0
49|ONTARIO,CA|4434872.0
50|BROWNSVILLE,TX|4303656.5
51|INDIANAPOLIS,IN|4199419.0
52|NEWPORT NEWS,VA|4073383.5
53|MILWAUKEE,WI|3864840.5
54|GRAND RAPIDS,MI|3778846.5
55|LUBBOCK,TX|3740528.2
56|ROCHESTER,NY|3711522.5
57|BUFFALO,NY|3706326.0
58|CARLSBAD,CA|3659389.8
59|SARASOTA,FL|3645014.5
60|AKRON,OH|3593531.0
61|OGDEN,UT|3466035.8
62|LINCOLN,NE|3369965.0
63|CINCINNATI,OH|3219669.0
64|BEAUMONT,TX|3160933.5
65|BIRMINGHAM,AL|2986452.5
66|SPRINGFIELD,MO|2937133.5
67|NORTH MYRTLE BEACH,SC|2931398.5
68|MOBILE,AL|2826518.0
69|LAREDO,TX|2721102.8
70|GREENVILLE,SC|2709858.8
71|NIAGARA FALLS,NY|2709761.2
72|MADISON,WI|2679484.5
73|TEMPLE,TX|2614962.8
74|LONGVIEW,TX|2602037.5
75|JACKSON,MS|2579949.8
76|WICHITA FALLS,TX|2574868.0
77|YOUNGSTOWN,OH|2485395.8
78|AMARILLO,TX|2452772.8
79|COLLEGE STATION,TX|2443882.8
80|TOPEKA,KS|2407544.5
81|PENSACOLA,FL|2399383.2
82|GREENSBORO,NC|2339847.2
83|TYLER,TX|2320591.8
84|HUNTSVILLE,AL|2315606.2
85|DES MOINES,IA|2301254.0
86|NORFOLK,VA|2278333.0
87|ORLANDO,FL|2176855.2
88|FORT WAYNE,IN|2156215.5
89|DAVENPORT,IA|2029878.0
90|JOPLIN,MO|2005645.8
91|SEATTLE,WA|2002590.1
92|RICHMOND,VA|1992649.0
93|SHERMAN,TX|1988644.4
94|RIVERSIDE,CA|1981538.5
95|PEORIA,IL|1934863.6
96|SOUTH BEND,IN|1929560.5
97|HARTFORD,CT|1904533.2
98|ANN ARBOR,MI|1886381.4
99|WACO,TX|1867992.9
100|TACOMA,WA|1820536.5
101|ALBUQUERQUE,NM|1798809.8
102|LANSING,MI|1780665.2
103|FARGO,ND|1778466.5
104|GULFPORT,MS|1762077.0
105|HARRISBURG,PA|1715736.1
106|DAYTON,OH|1710952.8
107|YORK,PA|1704876.0
108|FORT MYERS,FL|1698459.8
109|MONTGOMERY,AL|1687274.9
110|KALAMAZOO,MI|1632810.6
111|WILMINGTON,NC|1599376.6
112|GASTONIA,NC|1581436.8
